Time (s),Extension (in),Load (lbf)
0,0,0.02346
0.1,0.00001,0.14813
0.2,0.00003,0.67896
0.3,0.00005,1.25415
0.4,0.00007,1.85824
0.5,0.00009,2.39315
0.6,0.0001,3.03671
0.7,0.00012,3.58456
0.8,0.00013,4.25975
0.9,0.00015,4.86076
1,0.00017,5.56071
1.1,0.00019,6.19837
1.2,0.0002,6.86384
1.3,0.00022,7.44762
1.4,0.00023,8.08236
1.5,0.00025,8.6621
1.6,0.00027,9.29161
1.7,0.00028,9.92572
1.8,0.0003,10.55893
1.9,0.00031,11.10667
2,0.00033,11.73241
2.1,0.00034,12.28573
2.2,0.00036,12.91472
2.3,0.00037,13.53392
2.4,0.00039,14.19553
2.5,0.00041,14.7757
2.6,0.00042,15.39797
2.7,0.00044,15.9821
2.8,0.00045,16.58499
2.9,0.00047,17.18357
3,0.00049,17.85484
3.1,0.0005,18.47274
3.2,0.00052,19.10204
3.3,0.00053,19.73098
3.4,0.00055,20.33324
3.5,0.00056,20.86782
3.6,0.00058,21.44468
3.7,0.0006,22.04566
3.8,0.00061,22.66326
3.9,0.00063,23.29133
4,0.00064,23.91536
4.1,0.00066,24.52862
4.2,0.00068,25.12836
4.3,0.00069,25.67853
4.4,0.00071,26.26556
4.5,0.00072,26.88748
4.6,0.00074,27.49456
4.7,0.00076,28.06937
4.8,0.00077,28.7188
4.9,0.00079,29.25723
5,0.0008,29.84186
5.1,0.00082,30.48273
5.2,0.00084,31.07305
5.3,0.00085,31.69431
5.4,0.00087,32.2965
5.5,0.00089,32.8823
5.6,0.0009,33.48539
5.7,0.00092,34.07361
5.8,0.00094,34.72752
5.9,0.00095,35.32188
6,0.00097,35.96055
6.1,0.00099,36.54902
6.2,0.001,37.12004
6.3,0.00102,37.67987
6.4,0.00104,38.27962
6.5,0.00105,38.90069
6.6,0.00107,39.52218
6.7,0.00109,40.16449
6.8,0.0011,40.76233
6.9,0.00112,41.35403
7,0.00113,41.90464
7.1,0.00115,42.52078
7.2,0.00117,43.10802
7.3,0.00118,43.7374
7.4,0.0012,44.311
7.5,0.00122,44.89416
7.6,0.00123,45.46311
7.7,0.00125,46.10613
7.8,0.00127,46.70348
7.9,0.00128,47.31368
8,0.0013,47.92832
8.1,0.00132,48.52521
8.2,0.00133,49.11201
8.3,0.00135,49.71178
8.4,0.00136,50.3032
8.5,0.00138,50.92729
8.6,0.0014,51.53042
8.7,0.00142,52.1564
8.8,0.00143,52.79361
8.9,0.00145,53.35147
9,0.00146,53.89368
9.1,0.00148,54.50421
9.2,0.0015,55.10542
9.3,0.00152,55.68284
9.4,0.00153,56.3137
9.5,0.00155,56.93225
9.6,0.00157,57.52148
9.7,0.00158,58.10348
9.8,0.0016,58.69131
9.9,0.00162,59.3404
10,0.00163,59.92985
10.1,0.00165,60.53093
10.2,0.00167,61.1058
10.3,0.00168,61.71379
10.4,0.0017,62.30737
10.5,0.00172,62.90291
10.6,0.00174,63.53656
10.7,0.00175,64.13686
10.8,0.00177,64.70248
10.9,0.00179,65.27711
11,0.0018,65.86739
